Datum von;Datum bis;Deutschland/Luxemburg [€/MWh] Berechnete Auflösungen
03.01.2024 06:00;03.01.2024 07:00;109,30
03.01.2024 07:00;03.01.2024 08:00;115,27
03.01.2024 08:00;03.01.2024 09:00;125,83
03.01.2024 09:00;03.01.2024 10:00;149,87
03.01.2024 10:00;03.01.2024 11:00;121,94
03.01.2024 11:00;03.01.2024 12:00;143,91
03.01.2024 12:00;03.01.2024 13:00;112,40
03.01.2024 13:00;03.01.2024 14:00;128,85
03.01.2024 14:00;03.01.2024 15:00;134,80
03.01.2024 15:00;03.01.2024 16:00;140,07
03.01.2024 16:00;03.01.2024 17:00;142,87
03.01.2024 17:00;03.01.2024 18:00;146,33
03.01.2024 18:00;03.01.2024 19:00;134,36
03.01.2024 19:00;03.01.2024 20:00;130,92
03.01.2024 20:00;03.01.2024 21:00;139,52
03.01.2024 21:00;03.01.2024 22:00;116,52
03.01.2024 22:00;03.01.2024 23:00;93,57
03.01.2024 23:00;04.01.2024 00:00;88,26
04.01.2024 00:00;04.01.2024 01:00;86,13
04.01.2024 01:00;04.01.2024 02:00;102,52
04.01.2024 02:00;04.01.2024 03:00;98,90
04.01.2024 03:00;04.01.2024 04:00;107,41
04.01.2024 04:00;04.01.2024 05:00;97,39
04.01.2024 05:00;04.01.2024 06:00;109,69
04.01.2024 06:00;04.01.2024 07:00;122,54
04.01.2024 07:00;04.01.2024 08:00;119,31
04.01.2024 08:00;04.01.2024 09:00;134,69
04.01.2024 09:00;04.01.2024 10:00;124,07
04.01.2024 10:00;04.01.2024 11:00;128,06
04.01.2024 11:00;04.01.2024 12:00;127,80
04.01.2024 12:00;04.01.2024 13:00;118,33
04.01.2024 13:00;04.01.2024 14:00;138,80
04.01.2024 14:00;04.01.2024 15:00;127,30
04.01.2024 15:00;04.01.2024 16:00;133,27
04.01.2024 16:00;04.01.2024 17:00;140,19
04.01.2024 17:00;04.01.2024 18:00;142,26
04.01.2024 18:00;04.01.2024 19:00;146,61
04.01.2024 19:00;04.01.2024 20:00;135,37
04.01.2024 20:00;04.01.2024 21:00;124,23
04.01.2024 21:00;04.01.2024 22:00;117,94
04.01.2024 22:00;04.01.2024 23:00;88,72
04.01.2024 23:00;05.01.2024 00:00;84,58
05.01.2024 00:00;05.01.2024 01:00;81,37
05.01.2024 01:00;05.01.2024 02:00;84,67
05.01.2024 02:00;05.01.2024 03:00;102,07
05.01.2024 03:00;05.01.2024 04:00;88,33
05.01.2024 04:00;05.01.2024 05:00;98,06
05.01.2024 05:00;05.01.2024 06:00;123,45
05.01.2024 06:00;05.01.2024 07:00;110,83
05.01.2024 07:00;05.01.2024 08:00;131,95
05.01.2024 08:00;05.01.2024 09:00;118,09
05.01.2024 09:00;05.01.2024 10:00;129,63
05.01.2024 10:00;05.01.2024 11:00;121,09
05.01.2024 11:00;05.01.2024 12:00;128,39
05.01.2024 12:00;05.01.2024 13:00;142,84
05.01.2024 13:00;05.01.2024 14:00;112,30
05.01.2024 14:00;05.01.2024 15:00;138,22
05.01.2024 15:00;05.01.2024 16:00;136,05
05.01.2024 16:00;05.01.2024 17:00;127,37
05.01.2024 17:00;05.01.2024 18:00;119,62
05.01.2024 18:00;05.01.2024 19:00;139,57
05.01.2024 19:00;05.01.2024 20:00;130,28
05.01.2024 20:00;05.01.2024 21:00;132,18
05.01.2024 21:00;05.01.2024 22:00;119,24
05.01.2024 22:00;05.01.2024 23:00;128,27
05.01.2024 23:00;06.01.2024 00:00;99,15
06.01.2024 00:00;06.01.2024 01:00;85,03
06.01.2024 01:00;06.01.2024 02:00;98,85
06.01.2024 02:00;06.01.2024 03:00;99,98
06.01.2024 03:00;06.01.2024 04:00;115,58
06.01.2024 04:00;06.01.2024 05:00;112,69
06.01.2024 05:00;06.01.2024 06:00;112,21
06.01.2024 06:00;06.01.2024 07:00;132,74
06.01.2024 07:00;06.01.2024 08:00;108,90
06.01.2024 08:00;06.01.2024 09:00;121,68
06.01.2024 09:00;06.01.2024 10:00;121,05
06.01.2024 10:00;06.01.2024 11:00;127,89
06.01.2024 11:00;06.01.2024 12:00;116,01
06.01.2024 12:00;06.01.2024 13:00;140,45
06.01.2024 13:00;06.01.2024 14:00;130,43
06.01.2024 14:00;06.01.2024 15:00;115,43
06.01.2024 15:00;06.01.2024 16:00;121,08
06.01.2024 16:00;06.01.2024 17:00;138,33
06.01.2024 17:00;06.01.2024 18:00;147,10
06.01.2024 18:00;06.01.2024 19:00;162,74
06.01.2024 19:00;06.01.2024 20:00;171,67
06.01.2024 20:00;06.01.2024 21:00;134,43
06.01.2024 21:00;06.01.2024 22:00;107,17
06.01.2024 22:00;06.01.2024 23:00;83,53
06.01.2024 23:00;07.01.2024 00:00;105,30
07.01.2024 00:00;07.01.2024 01:00;87,62
07.01.2024 01:00;07.01.2024 02:00;91,78
07.01.2024 02:00;07.01.2024 03:00;90,06
07.01.2024 03:00;07.01.2024 04:00;97,64
07.01.2024 04:00;07.01.2024 05:00;115,52
07.01.2024 05:00;07.01.2024 06:00;109,88
07.01.2024 06:00;07.01.2024 07:00;113,34
07.01.2024 07:00;07.01.2024 08:00;110,80
07.01.2024 08:00;07.01.2024 09:00;109,33
07.01.2024 09:00;07.01.2024 10:00;126,39
07.01.2024 10:00;07.01.2024 11:00;131,98
07.01.2024 11:00;07.01.2024 12:00;153,81
07.01.2024 12:00;07.01.2024 13:00;134,46
07.01.2024 13:00;07.01.2024 14:00;144,96
07.01.2024 14:00;07.01.2024 15:00;127,15
07.01.2024 15:00;07.01.2024 16:00;119,11
07.01.2024 16:00;07.01.2024 17:00;123,05
07.01.2024 17:00;07.01.2024 18:00;128,40
07.01.2024 18:00;07.01.2024 19:00;164,38
07.01.2024 19:00;07.01.2024 20:00;126,91
07.01.2024 20:00;07.01.2024 21:00;139,58
07.01.2024 21:00;07.01.2024 22:00;108,27
07.01.2024 22:00;07.01.2024 23:00;120,36
07.01.2024 23:00;08.01.2024 00:00;106,77
08.01.2024 00:00;08.01.2024 01:00;95,55
08.01.2024 01:00;08.01.2024 02:00;96,33
08.01.2024 02:00;08.01.2024 03:00;89,60
08.01.2024 03:00;08.01.2024 04:00;104,74
08.01.2024 04:00;08.01.2024 05:00;97,33
08.01.2024 05:00;08.01.2024 06:00;93,34
08.01.2024 06:00;08.01.2024 07:00;99,96
08.01.2024 07:00;08.01.2024 08:00;125,35
08.01.2024 08:00;08.01.2024 09:00;148,43
08.01.2024 09:00;08.01.2024 10:00;134,20
08.01.2024 10:00;08.01.2024 11:00;131,26
08.01.2024 11:00;08.01.2024 12:00;136,08
08.01.2024 12:00;08.01.2024 13:00;148,62
08.01.2024 13:00;08.01.2024 14:00;135,85
08.01.2024 14:00;08.01.2024 15:00;128,27
08.01.2024 15:00;08.01.2024 16:00;146,66
08.01.2024 16:00;08.01.2024 17:00;139,83
08.01.2024 17:00;08.01.2024 18:00;155,59
08.01.2024 18:00;08.01.2024 19:00;141,09
08.01.2024 19:00;08.01.2024 20:00;122,13
08.01.2024 20:00;08.01.2024 21:00;113,16
08.01.2024 21:00;08.01.2024 22:00;138,97
08.01.2024 22:00;08.01.2024 23:00;129,92
08.01.2024 23:00;09.01.2024 00:00;100,05
09.01.2024 00:00;09.01.2024 01:00;92,88
09.01.2024 01:00;09.01.2024 02:00;114,41
09.01.2024 02:00;09.01.2024 03:00;84,22
09.01.2024 03:00;09.01.2024 04:00;88,70
09.01.2024 04:00;09.01.2024 05:00;110,55
09.01.2024 05:00;09.01.2024 06:00;103,36
09.01.2024 06:00;09.01.2024 07:00;115,28
09.01.2024 07:00;09.01.2024 08:00;121,37
09.01.2024 08:00;09.01.2024 09:00;133,58
09.01.2024 09:00;09.01.2024 10:00;149,22
09.01.2024 10:00;09.01.2024 11:00;133,82
09.01.2024 11:00;09.01.2024 12:00;140,42
09.01.2024 12:00;09.01.2024 13:00;108,39
09.01.2024 13:00;09.01.2024 14:00;132,68
09.01.2024 14:00;09.01.2024 15:00;123,13
09.01.2024 15:00;09.01.2024 16:00;118,81
09.01.2024 16:00;09.01.2024 17:00;124,20
09.01.2024 17:00;09.01.2024 18:00;133,20
09.01.2024 18:00;09.01.2024 19:00;149,93
09.01.2024 19:00;09.01.2024 20:00;120,95
09.01.2024 20:00;09.01.2024 21:00;129,99
09.01.2024 21:00;09.01.2024 22:00;113,40
09.01.2024 22:00;09.01.2024 23:00;105,35
09.01.2024 23:00;10.01.2024 00:00;114,29
10.01.2024 00:00;10.01.2024 01:00;103,98
10.01.2024 01:00;10.01.2024 02:00;112,96
10.01.2024 02:00;10.01.2024 03:00;95,69
10.01.2024 03:00;10.01.2024 04:00;91,12
10.01.2024 04:00;10.01.2024 05:00;100,19
10.01.2024 05:00;10.01.2024 06:00;111,05
10.01.2024 06:00;10.01.2024 07:00;117,50
10.01.2024 07:00;10.01.2024 08:00;110,36
10.01.2024 08:00;10.01.2024 09:00;130,65
10.01.2024 09:00;10.01.2024 10:00;135,11
10.01.2024 10:00;10.01.2024 11:00;162,98
10.01.2024 11:00;10.01.2024 12:00;155,26
10.01.2024 12:00;10.01.2024 13:00;122,80
10.01.2024 13:00;10.01.2024 14:00;129,86
10.01.2024 14:00;10.01.2024 15:00;115,72
10.01.2024 15:00;10.01.2024 16:00;126,39
10.01.2024 16:00;10.01.2024 17:00;138,57
10.01.2024 17:00;10.01.2024 18:00;151,72
10.01.2024 18:00;10.01.2024 19:00;130,23
10.01.2024 19:00;10.01.2024 20:00;129,06
10.01.2024 20:00;10.01.2024 21:00;103,90
10.01.2024 21:00;10.01.2024 22:00;117,30
10.01.2024 22:00;10.01.2024 23:00;96,57
10.01.2024 23:00;11.01.2024 00:00;95,94
11.01.2024 00:00;11.01.2024 01:00;87,03
11.01.2024 01:00;11.01.2024 02:00;95,81
11.01.2024 02:00;11.01.2024 03:00;76,49
11.01.2024 03:00;11.01.2024 04:00;81,90
11.01.2024 04:00;11.01.2024 05:00;128,46
11.01.2024 05:00;11.01.2024 06:00;92,72
11.01.2024 06:00;11.01.2024 07:00;102,25
11.01.2024 07:00;11.01.2024 08:00;145,45
11.01.2024 08:00;11.01.2024 09:00;164,46
11.01.2024 09:00;11.01.2024 10:00;118,35
11.01.2024 10:00;11.01.2024 11:00;128,38
11.01.2024 11:00;11.01.2024 12:00;136,87
11.01.2024 12:00;11.01.2024 13:00;153,81
11.01.2024 13:00;11.01.2024 14:00;121,50
11.01.2024 14:00;11.01.2024 15:00;130,38
11.01.2024 15:00;11.01.2024 16:00;142,84
11.01.2024 16:00;11.01.2024 17:00;140,03
11.01.2024 17:00;11.01.2024 18:00;132,77
11.01.2024 18:00;11.01.2024 19:00;137,41
11.01.2024 19:00;11.01.2024 20:00;120,44
11.01.2024 20:00;11.01.2024 21:00;126,84
11.01.2024 21:00;11.01.2024 22:00;116,09
11.01.2024 22:00;11.01.2024 23:00;112,14
11.01.2024 23:00;12.01.2024 00:00;95,67
12.01.2024 00:00;12.01.2024 01:00;103,24
12.01.2024 01:00;12.01.2024 02:00;109,12
12.01.2024 02:00;12.01.2024 03:00;99,47
12.01.2024 03:00;12.01.2024 04:00;103,75
12.01.2024 04:00;12.01.2024 05:00;103,57
12.01.2024 05:00;12.01.2024 06:00;108,20
12.01.2024 06:00;12.01.2024 07:00;106,78
12.01.2024 07:00;12.01.2024 08:00;127,23
12.01.2024 08:00;12.01.2024 09:00;128,46
12.01.2024 09:00;12.01.2024 10:00;157,55
12.01.2024 10:00;12.01.2024 11:00;151,71
12.01.2024 11:00;12.01.2024 12:00;137,42
12.01.2024 12:00;12.01.2024 13:00;123,94
12.01.2024 13:00;12.01.2024 14:00;120,02
12.01.2024 14:00;12.01.2024 15:00;147,64
12.01.2024 15:00;12.01.2024 16:00;136,69
12.01.2024 16:00;12.01.2024 17:00;140,60
12.01.2024 17:00;12.01.2024 18:00;116,38
12.01.2024 18:00;12.01.2024 19:00;150,17
12.01.2024 19:00;12.01.2024 20:00;142,42
12.01.2024 20:00;12.01.2024 21:00;116,40
12.01.2024 21:00;12.01.2024 22:00;113,65
12.01.2024 22:00;12.01.2024 23:00;112,55
12.01.2024 23:00;13.01.2024 00:00;102,99
13.01.2024 00:00;13.01.2024 01:00;94,09
13.01.2024 01:00;13.01.2024 02:00;95,75
13.01.2024 02:00;13.01.2024 03:00;94,60
13.01.2024 03:00;13.01.2024 04:00;101,38
13.01.2024 04:00;13.01.2024 05:00;120,61
13.01.2024 05:00;13.01.2024 06:00;77,42
13.01.2024 06:00;13.01.2024 07:00;112,62
13.01.2024 07:00;13.01.2024 08:00;125,57
13.01.2024 08:00;13.01.2024 09:00;133,20
13.01.2024 09:00;13.01.2024 10:00;127,99
13.01.2024 10:00;13.01.2024 11:00;111,77
13.01.2024 11:00;13.01.2024 12:00;136,75
13.01.2024 12:00;13.01.2024 13:00;153,84
13.01.2024 13:00;13.01.2024 14:00;114,98
13.01.2024 14:00;13.01.2024 15:00;143,73
13.01.2024 15:00;13.01.2024 16:00;129,61
13.01.2024 16:00;13.01.2024 17:00;134,12
13.01.2024 17:00;13.01.2024 18:00;124,69
13.01.2024 18:00;13.01.2024 19:00;135,05
13.01.2024 19:00;13.01.2024 20:00;152,59
13.01.2024 20:00;13.01.2024 21:00;136,73
13.01.2024 21:00;13.01.2024 22:00;140,12
13.01.2024 22:00;13.01.2024 23:00;123,53
13.01.2024 23:00;14.01.2024 00:00;107,64
14.01.2024 00:00;14.01.2024 01:00;118,54
14.01.2024 01:00;14.01.2024 02:00;102,27
14.01.2024 02:00;14.01.2024 03:00;107,57
14.01.2024 03:00;14.01.2024 04:00;96,00
14.01.2024 04:00;14.01.2024 05:00;103,76
14.01.2024 05:00;14.01.2024 06:00;99,86
14.01.2024 06:00;14.01.2024 07:00;127,35
14.01.2024 07:00;14.01.2024 08:00;109,32
14.01.2024 08:00;14.01.2024 09:00;139,04
14.01.2024 09:00;14.01.2024 10:00;130,17
14.01.2024 10:00;14.01.2024 11:00;146,91
14.01.2024 11:00;14.01.2024 12:00;141,83
14.01.2024 12:00;14.01.2024 13:00;154,97
14.01.2024 13:00;14.01.2024 14:00;142,17
14.01.2024 14:00;14.01.2024 15:00;114,51
14.01.2024 15:00;14.01.2024 16:00;132,76
14.01.2024 16:00;14.01.2024 17:00;120,80
14.01.2024 17:00;14.01.2024 18:00;131,12
14.01.2024 18:00;14.01.2024 19:00;157,20
14.01.2024 19:00;14.01.2024 20:00;144,65
14.01.2024 20:00;14.01.2024 21:00;121,37
14.01.2024 21:00;14.01.2024 22:00;107,18
14.01.2024 22:00;14.01.2024 23:00;109,80
14.01.2024 23:00;15.01.2024 00:00;87,79
15.01.2024 00:00;15.01.2024 01:00;89,56
15.01.2024 01:00;15.01.2024 02:00;100,75
15.01.2024 02:00;15.01.2024 03:00;111,50
15.01.2024 03:00;15.01.2024 04:00;106,87
15.01.2024 04:00;15.01.2024 05:00;75,47
15.01.2024 05:00;15.01.2024 06:00;111,88
15.01.2024 06:00;15.01.2024 07:00;116,34
15.01.2024 07:00;15.01.2024 08:00;128,43
15.01.2024 08:00;15.01.2024 09:00;149,05
15.01.2024 09:00;15.01.2024 10:00;107,71
15.01.2024 10:00;15.01.2024 11:00;125,77
15.01.2024 11:00;15.01.2024 12:00;139,92
15.01.2024 12:00;15.01.2024 13:00;114,15
15.01.2024 13:00;15.01.2024 14:00;151,11
15.01.2024 14:00;15.01.2024 15:00;137,80
15.01.2024 15:00;15.01.2024 16:00;143,73
15.01.2024 16:00;15.01.2024 17:00;128,02
15.01.2024 17:00;15.01.2024 18:00;147,11
15.01.2024 18:00;15.01.2024 19:00;151,90
15.01.2024 19:00;15.01.2024 20:00;139,79
15.01.2024 20:00;15.01.2024 21:00;132,57
15.01.2024 21:00;15.01.2024 22:00;122,59
15.01.2024 22:00;15.01.2024 23:00;99,05
15.01.2024 23:00;16.01.2024 00:00;100,62
16.01.2024 00:00;16.01.2024 01:00;95,78
16.01.2024 01:00;16.01.2024 02:00;101,60
16.01.2024 02:00;16.01.2024 03:00;109,63
16.01.2024 03:00;16.01.2024 04:00;86,86
16.01.2024 04:00;16.01.2024 05:00;101,46
16.01.2024 05:00;16.01.2024 06:00;126,01
16.01.2024 06:00;16.01.2024 07:00;106,55
16.01.2024 07:00;16.01.2024 08:00;113,59
16.01.2024 08:00;16.01.2024 09:00;132,08
16.01.2024 09:00;16.01.2024 10:00;142,59
16.01.2024 10:00;16.01.2024 11:00;133,00
16.01.2024 11:00;16.01.2024 12:00;148,77
16.01.2024 12:00;16.01.2024 13:00;143,41
16.01.2024 13:00;16.01.2024 14:00;143,50
16.01.2024 14:00;16.01.2024 15:00;140,02
16.01.2024 15:00;16.01.2024 16:00;161,50
16.01.2024 16:00;16.01.2024 17:00;132,40
16.01.2024 17:00;16.01.2024 18:00;113,30
16.01.2024 18:00;16.01.2024 19:00;158,32
16.01.2024 19:00;16.01.2024 20:00;131,50
16.01.2024 20:00;16.01.2024 21:00;131,05
16.01.2024 21:00;16.01.2024 22:00;135,05
16.01.2024 22:00;16.01.2024 23:00;90,18
16.01.2024 23:00;17.01.2024 00:00;87,37
17.01.2024 00:00;17.01.2024 01:00;78,38
17.01.2024 01:00;17.01.2024 02:00;87,46
17.01.2024 02:00;17.01.2024 03:00;102,90
17.01.2024 03:00;17.01.2024 04:00;105,84
17.01.2024 04:00;17.01.2024 05:00;106,27
17.01.2024 05:00;17.01.2024 06:00;91,26
17.01.2024 06:00;17.01.2024 07:00;87,74
17.01.2024 07:00;17.01.2024 08:00;124,10
17.01.2024 08:00;17.01.2024 09:00;123,98
17.01.2024 09:00;17.01.2024 10:00;137,96
17.01.2024 10:00;17.01.2024 11:00;141,27
17.01.2024 11:00;17.01.2024 12:00;134,47
17.01.2024 12:00;17.01.2024 13:00;142,24
17.01.2024 13:00;17.01.2024 14:00;136,14
17.01.2024 14:00;17.01.2024 15:00;139,72
17.01.2024 15:00;17.01.2024 16:00;125,10
17.01.2024 16:00;17.01.2024 17:00;132,70
17.01.2024 17:00;17.01.2024 18:00;139,69
17.01.2024 18:00;17.01.2024 19:00;148,91
17.01.2024 19:00;17.01.2024 20:00;132,26
17.01.2024 20:00;17.01.2024 21:00;136,00
17.01.2024 21:00;17.01.2024 22:00;116,14
17.01.2024 22:00;17.01.2024 23:00;107,99
17.01.2024 23:00;18.01.2024 00:00;112,33
18.01.2024 00:00;18.01.2024 01:00;73,66
18.01.2024 01:00;18.01.2024 02:00;81,41
18.01.2024 02:00;18.01.2024 03:00;79,82
18.01.2024 03:00;18.01.2024 04:00;71,53
18.01.2024 04:00;18.01.2024 05:00;94,79
18.01.2024 05:00;18.01.2024 06:00;117,19
18.01.2024 06:00;18.01.2024 07:00;112,02
18.01.2024 07:00;18.01.2024 08:00;125,80
18.01.2024 08:00;18.01.2024 09:00;142,70
18.01.2024 09:00;18.01.2024 10:00;148,36
18.01.2024 10:00;18.01.2024 11:00;132,00
18.01.2024 11:00;18.01.2024 12:00;149,04
18.01.2024 12:00;18.01.2024 13:00;134,20
18.01.2024 13:00;18.01.2024 14:00;123,32
18.01.2024 14:00;18.01.2024 15:00;126,21
18.01.2024 15:00;18.01.2024 16:00;115,77
18.01.2024 16:00;18.01.2024 17:00;124,18
18.01.2024 17:00;18.01.2024 18:00;133,01
18.01.2024 18:00;18.01.2024 19:00;148,68
18.01.2024 19:00;18.01.2024 20:00;157,62
18.01.2024 20:00;18.01.2024 21:00;113,14
18.01.2024 21:00;18.01.2024 22:00;124,02
18.01.2024 22:00;18.01.2024 23:00;96,89
18.01.2024 23:00;19.01.2024 00:00;108,05
19.01.2024 00:00;19.01.2024 01:00;95,98
19.01.2024 01:00;19.01.2024 02:00;74,97
19.01.2024 02:00;19.01.2024 03:00;108,72
19.01.2024 03:00;19.01.2024 04:00;92,25
19.01.2024 04:00;19.01.2024 05:00;96,50
19.01.2024 05:00;19.01.2024 06:00;95,34
19.01.2024 06:00;19.01.2024 07:00;107,56
19.01.2024 07:00;19.01.2024 08:00;128,54
19.01.2024 08:00;19.01.2024 09:00;127,33
19.01.2024 09:00;19.01.2024 10:00;136,35
19.01.2024 10:00;19.01.2024 11:00;137,15
19.01.2024 11:00;19.01.2024 12:00;148,62
19.01.2024 12:00;19.01.2024 13:00;128,96
19.01.2024 13:00;19.01.2024 14:00;115,62
19.01.2024 14:00;19.01.2024 15:00;146,13
19.01.2024 15:00;19.01.2024 16:00;129,53
19.01.2024 16:00;19.01.2024 17:00;148,19
19.01.2024 17:00;19.01.2024 18:00;141,88
19.01.2024 18:00;19.01.2024 19:00;137,44
19.01.2024 19:00;19.01.2024 20:00;141,13
19.01.2024 20:00;19.01.2024 21:00;153,11
19.01.2024 21:00;19.01.2024 22:00;144,21
19.01.2024 22:00;19.01.2024 23:00;110,19
19.01.2024 23:00;20.01.2024 00:00;104,25
20.01.2024 00:00;20.01.2024 01:00;110,44
20.01.2024 01:00;20.01.2024 02:00;86,76
20.01.2024 02:00;20.01.2024 03:00;101,54
20.01.2024 03:00;20.01.2024 04:00;99,16
20.01.2024 04:00;20.01.2024 05:00;106,64
20.01.2024 05:00;20.01.2024 06:00;98,14
20.01.2024 06:00;20.01.2024 07:00;96,31
20.01.2024 07:00;20.01.2024 08:00;98,50
20.01.2024 08:00;20.01.2024 09:00;116,16
20.01.2024 09:00;20.01.2024 10:00;126,87
20.01.2024 10:00;20.01.2024 11:00;129,25
20.01.2024 11:00;20.01.2024 12:00;155,98
20.01.2024 12:00;20.01.2024 13:00;146,31
20.01.2024 13:00;20.01.2024 14:00;121,76
20.01.2024 14:00;20.01.2024 15:00;137,46
20.01.2024 15:00;20.01.2024 16:00;128,59
20.01.2024 16:00;20.01.2024 17:00;131,37
20.01.2024 17:00;20.01.2024 18:00;139,48
20.01.2024 18:00;20.01.2024 19:00;146,41
20.01.2024 19:00;20.01.2024 20:00;132,84
20.01.2024 20:00;20.01.2024 21:00;142,43
20.01.2024 21:00;20.01.2024 22:00;105,55
20.01.2024 22:00;20.01.2024 23:00;109,40
20.01.2024 23:00;21.01.2024 00:00;133,47
21.01.2024 00:00;21.01.2024 01:00;100,16
21.01.2024 01:00;21.01.2024 02:00;114,07
21.01.2024 02:00;21.01.2024 03:00;98,60
21.01.2024 03:00;21.01.2024 04:00;106,40
21.01.2024 04:00;21.01.2024 05:00;102,15
21.01.2024 05:00;21.01.2024 06:00;106,05
21.01.2024 06:00;21.01.2024 07:00;105,99
21.01.2024 07:00;21.01.2024 08:00;128,50
21.01.2024 08:00;21.01.2024 09:00;119,31
21.01.2024 09:00;21.01.2024 10:00;140,32
21.01.2024 10:00;21.01.2024 11:00;145,75
21.01.2024 11:00;21.01.2024 12:00;137,09
21.01.2024 12:00;21.01.2024 13:00;129,56
21.01.2024 13:00;21.01.2024 14:00;138,71
21.01.2024 14:00;21.01.2024 15:00;129,54
21.01.2024 15:00;21.01.2024 16:00;144,66
21.01.2024 16:00;21.01.2024 17:00;112,76
21.01.2024 17:00;21.01.2024 18:00;133,18
21.01.2024 18:00;21.01.2024 19:00;115,05
21.01.2024 19:00;21.01.2024 20:00;118,93
21.01.2024 20:00;21.01.2024 21:00;145,99
21.01.2024 21:00;21.01.2024 22:00;129,95
21.01.2024 22:00;21.01.2024 23:00;100,65
21.01.2024 23:00;22.01.2024 00:00;84,23
22.01.2024 00:00;22.01.2024 01:00;61,86
22.01.2024 01:00;22.01.2024 02:00;90,30
22.01.2024 02:00;22.01.2024 03:00;126,50
22.01.2024 03:00;22.01.2024 04:00;104,60
22.01.2024 04:00;22.01.2024 05:00;96,07
22.01.2024 05:00;22.01.2024 06:00;113,63
22.01.2024 06:00;22.01.2024 07:00;96,56
22.01.2024 07:00;22.01.2024 08:00;119,72
22.01.2024 08:00;22.01.2024 09:00;130,67
22.01.2024 09:00;22.01.2024 10:00;131,25
22.01.2024 10:00;22.01.2024 11:00;142,17
22.01.2024 11:00;22.01.2024 12:00;136,78
22.01.2024 12:00;22.01.2024 13:00;140,97
22.01.2024 13:00;22.01.2024 14:00;124,96
22.01.2024 14:00;22.01.2024 15:00;143,97
22.01.2024 15:00;22.01.2024 16:00;152,93
22.01.2024 16:00;22.01.2024 17:00;123,05
22.01.2024 17:00;22.01.2024 18:00;126,51
22.01.2024 18:00;22.01.2024 19:00;154,92
22.01.2024 19:00;22.01.2024 20:00;134,52
22.01.2024 20:00;22.01.2024 21:00;146,42
22.01.2024 21:00;22.01.2024 22:00;113,85
22.01.2024 22:00;22.01.2024 23:00;126,69
22.01.2024 23:00;23.01.2024 00:00;103,79
23.01.2024 00:00;23.01.2024 01:00;100,48
23.01.2024 01:00;23.01.2024 02:00;115,54
23.01.2024 02:00;23.01.2024 03:00;93,06
23.01.2024 03:00;23.01.2024 04:00;88,04
23.01.2024 04:00;23.01.2024 05:00;97,35
23.01.2024 05:00;23.01.2024 06:00;113,42
23.01.2024 06:00;23.01.2024 07:00;96,45
